"id","project_id","sample_count","created_at","notified"
1,"85273257",1,"2026-04-29 20:40:02",1
2,"85273257",1,"2026-04-29 20:59:42",1
3,"85273257",5,"2026-05-06 01:21:34",0
4,"85273257",5,"2026-05-06 01:21:34",0
5,"85273257",5,"2026-05-06 01:21:38",0
6,"85273257",5,"2026-05-06 01:29:25",0
7,"85273257",5,"2026-05-06 01:29:25",0
8,"85273257",10,"2026-05-06 01:53:31",0
9,"85273257",10,"2026-05-06 01:53:32",0
10,"85273257",10,"2026-05-06 01:53:38",0
11,"85273257",10,"2026-05-06 02:00:47",0
12,"85273257",10,"2026-05-06 02:00:54",0
13,"85273257",10,"2026-05-06 02:04:47",0
14,"45833544",2,"2026-05-06 02:09:18",0
15,"45833544",2,"2026-05-06 02:09:18",0
16,"85273257",10,"2026-05-06 02:09:20",0
17,"85273257",10,"2026-05-06 02:09:20",0
18,"45833544",2,"2026-05-06 02:09:24",0
19,"85273257",10,"2026-05-06 02:09:27",0
20,"45833544",2,"2026-05-06 02:09:28",0
21,"85273257",10,"2026-05-06 02:09:30",0
22,"45833544",4,"2026-05-06 02:16:56",0
23,"85273257",10,"2026-05-06 02:16:58",0
24,"85273257",10,"2026-05-06 02:16:59",0
25,"45833544",4,"2026-05-06 02:17:04",0
26,"45833544",4,"2026-05-06 02:17:04",0
27,"85273257",10,"2026-05-06 02:17:06",0
28,"85273257",10,"2026-05-06 02:17:07",0
29,"45833544",5,"2026-05-06 02:23:30",0
30,"45833544",5,"2026-05-06 02:23:30",0
31,"85273257",10,"2026-05-06 02:23:33",0
32,"85273257",10,"2026-05-06 02:23:33",0
33,"85273257",10,"2026-05-06 02:23:34",0
34,"45833544",5,"2026-05-06 02:23:37",0
35,"85273257",10,"2026-05-06 02:23:39",0
36,"45833544",6,"2026-05-06 02:34:46",0
37,"45833544",6,"2026-05-06 02:34:46",0
38,"82852665",9,"2026-05-06 02:34:49",0
39,"82852665",9,"2026-05-06 02:34:49",0
40,"85273257",10,"2026-05-06 02:34:51",0
41,"85273257",10,"2026-05-06 02:34:51",0
42,"82852665",9,"2026-05-06 02:34:53",0
43,"45833544",6,"2026-05-06 02:34:53",0
44,"85273257",10,"2026-05-06 02:34:55",0
45,"82852665",9,"2026-05-06 02:34:55",0
46,"85273257",10,"2026-05-06 02:34:57",0
47,"45833544",6,"2026-05-06 03:17:01",0
48,"45833544",6,"2026-05-06 03:17:03",0
49,"85273257",10,"2026-05-06 03:17:03",0
50,"85273257",10,"2026-05-06 03:17:05",0
51,"45833544",6,"2026-05-06 12:39:10",0
52,"85273257",10,"2026-05-06 12:39:12",0
53,"84032228",1,"2026-05-06 14:37:29",1
54,"94297778",1,"2026-05-07 01:08:45",1
55,"88958011",1,"2026-05-12 00:06:49",1
56,"75372133",1,"2026-05-12 20:44:41",1
57,"18649534",1,"2026-05-13 01:12:41",1
58,"88548223",1,"2026-05-13 09:33:10",1
59,"88548223",1,"2026-05-13 12:44:55",1
60,"80929325",1,"2026-05-15 13:18:01",1
61,"80929325",1,"2026-05-15 13:20:25",1
62,"18649534",1,"2026-05-15 16:25:12",0
63,"18649534",1,"2026-05-15 16:57:03",0
64,"18649534",1,"2026-05-15 16:57:33",0
65,"18649534",1,"2026-05-15 16:58:02",0
66,"96796997",1,"2026-05-22 23:20:50",1
67,"96796997",1,"2026-05-22 23:22:42",0
68,"48321636",1,"2026-05-22 23:26:01",1
69,"48321636",1,"2026-05-22 23:27:33",0
70,"03447049",1,"2026-05-22 23:51:59",1
71,"03447049",1,"2026-05-22 23:55:39",1
72,"03447049",1,"2026-05-23 11:23:27",0
73,"03447049",1,"2026-05-23 16:29:28",0
74,"03447049",1,"2026-05-23 16:49:53",0
75,"03447049",1,"2026-05-23 17:06:35",0
76,"03447049",1,"2026-05-23 17:31:35",1
77,"84851755",1,"2026-05-23 23:38:31",1
78,"84355906",1,"2026-05-24 11:33:52",0
79,"23233690",1,"2026-05-24 22:51:50",1
80,"44633281",1,"2026-05-24 23:04:05",1
81,"38516467",1,"2026-05-24 23:13:05",1
82,"30427805",1,"2026-05-24 23:57:19",1
83,"03405732",1,"2026-05-25 10:45:10",1
84,"71346103",1,"2026-05-25 12:58:09",1
85,"22404839",1,"2026-05-25 16:11:27",1
86,"87162792",1,"2026-05-29 19:33:42",1
87,"22404839",1,"2026-05-30 18:39:57",1
88,"87162792",1,"2026-05-30 18:41:27",1
89,"03447049",1,"2026-05-30 18:42:18",0
90,"61437762",1,"2026-05-30 18:43:57",1
